init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[278.0, 204.45520000000008], [10.0, -2.531999999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[278.5, 204.34086250000007], [10.0, -2.041499999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[279.0, 204.25105000000008], [10.0, -1.550999999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[279.5, 204.18576250000007], [10.0, -1.060499999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[280.0, 204.14500000000007], [10.0, -0.569999999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[280.5, 204.12876250000008], [10.0, -0.079499999999964], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[281.0, 204.13705000000007], [10.0, 0.411000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[281.5, 204.16986250000008], [10.0, 0.901500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[282.0, 204.22720000000007], [10.0, 1.392000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[282.5, 204.30906250000007], [10.0, 1.882500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[283.0, 204.41545000000008], [10.0, 2.373000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[283.5, 204.54636250000007], [10.0, 2.863500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[284.0, 204.70180000000008], [10.0, 3.354000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[284.5, 204.88176250000006], [10.0, 3.844500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[285.0, 205.08625000000006], [10.0, 4.335000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[285.5, 205.31526250000007], [10.0, 4.825500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[286.0, 205.56880000000007], [10.0, 5.316000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[286.5, 205.84686250000007], [10.0, 5.806500000000036], [0.0, 9.81], [0, 0]]?
