init?shape0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height1?width1?
1tick27?pos_derivs[[50.0, 0.9924255], [0.0, 2.351300000000003], [0.0, -9.81], [0, 0]]?
0tick28?pos_derivs[[0.0, -0.384552], [0.0, -2.7468], [0.0, -9.81], [0, 0]]?
1tick28?pos_derivs[[50.0, 1.015448], [0.0, 2.253200000000003], [0.0, -9.81], [0, 0]]?
0tick29?pos_derivs[[0.0, -0.4125105], [0.0, -2.8449], [0.0, -9.81], [0, 0]]?
1tick29?pos_derivs[[50.0, 1.0374895], [0.0, 2.155100000000003], [0.0, -9.81], [0, 0]]?
0tick30?pos_derivs[[0.0, -0.44145], [0.0, -2.943], [0.0, -9.81], [0, 0]]?
1tick30?pos_derivs[[50.0, 1.05855], [0.0, 2.057000000000003], [0.0, -9.81], [0, 0]]?
0tick31?pos_derivs[[0.0, -0.4713705], [0.0, -3.0411], [0.0, -9.81], [0, 0]]?
1tick31?pos_derivs[[50.0, 1.0786295], [0.0, 1.958900000000003], [0.0, -9.81], [0, 0]]?
0tick32?pos_derivs[[0.0, -0.502272], [0.0, -3.1392], [0.0, -9.81], [0, 0]]?
1tick32?pos_derivs[[50.0, 1.097728], [0.0, 1.860800000000003], [0.0, -9.81], [0, 0]]?
0tick33?pos_derivs[[0.0, -0.5341545], [0.0, -3.2373], [0.0, -9.81], [0, 0]]?
1tick33?pos_derivs[[50.0, 1.1158455], [0.0, 1.762700000000003], [0.0, -9.81], [0, 0]]?
0tick34?pos_derivs[[0.0, -0.567018], [0.0, -3.3354], [0.0, -9.81], [0, 0]]?
1tick34?pos_derivs[[50.0, 1.132982], [0.0, 1.664600000000003], [0.0, -9.81], [0, 0]]?
0tick35?pos_derivs[[0.0, -0.6008625], [0.0, -3.4335], [0.0, -9.81], [0, 0]]?
1tick35?pos_derivs[[50.0, 1.1491375], [0.0, 1.566500000000003], [0.0, -9.81], [0, 0]]?
0tick36?pos_derivs[[0.0, -0.635688], [0.0, -3.5316], [0.0, -9.81], [0, 0]]?
1tick36?pos_derivs[[50.0, 1.164312], [0.0, 1.468400000000003], [0.0, -9.81], [0, 0]]?
0tick37?pos_derivs[[0.0, -0.6714945], [0.0, -3.6297], [0.0, -9.81], [0, 0]]?
1tick37?pos_derivs[[50.0, 1.1785055], [0.0, 1.370300000000003], [0.0, -9.81], [0, 0]]?
0tick38?pos_derivs[[0.0, -0.708282], [0.0, -3.7278], [0.0, -9.81], [0, 0]]?
1tick38?pos_derivs[[50.0, 1.191718], [0.0, 1.272200000000003], [0.0, -9.81], [0, 0]]?
0tick39?pos_derivs[[0.0, -0.7460505], [0.0, -3.8259], [0.0, -9.81], [0, 0]]?
1tick39?pos_derivs[[50.0, 1.2039495], [0.0, 1.174100000000003], [0.0, -9.81], [0, 0]]?
0tick40?pos_derivs[[0.0, -0.7848], [0.0, -3.924], [0.0, -9.81], [0, 0]]?
1tick40?pos_derivs[[50.0, 1.2152], [0.0, 1.076000000000003], [0.0, -9.81], [0, 0]]?
0tick41?pos_derivs[[0.0, -0.8245305], [0.0, -4.0221], [0.0, -9.81], [0, 0]]?
1tick41?pos_derivs[[50.0, 1.2254695], [0.0, 0.977900000000003], [0.0, -9.81], [0, 0]]?
0tick42?pos_derivs[[0.0, -0.865242], [0.0, -4.1202], [0.0, -9.81], [0, 0]]?
1tick42?pos_derivs[[50.0, 1.234758], [0.0, 0.879800000000003], [0.0, -9.81], [0, 0]]?
0tick43?pos_derivs[[0.0, -0.9069345], [0.0, -4.218299999999999], [0.0, -9.81], [0, 0]]?
1tick43?pos_derivs[[50.0, 1.2430655], [0.0, 0.781700000000003], [0.0, -9.81], [0, 0]]?
0tick44?pos_derivs[[0.0, -0.949608], [0.0, -4.316399999999999], [0.0, -9.81], [0, 0]]?
1tick44?pos_derivs[[50.0, 1.250392], [0.0, 0.683600000000003], [0.0, -9.81], [0, 0]]?
0tick45?pos_derivs[[0.0, -0.9932625], [0.0, -4.414499999999999], [0.0, -9.81], [0, 0]]?
1tick45?pos_derivs[[50.0, 1.2567375], [0.0, 0.585500000000003], [0.0, -9.81], [0, 0]]?
0tick46?pos_derivs[[0.0, -1.037898], [0.0, -4.512599999999999], [0.0, -9.81], [0, 0]]?
1tick46?pos_derivs[[50.0, 1.262102], [0.0, 0.487400000000003], [0.0, -9.81], [0, 0]]?
0tick47?pos_derivs[[0.0, -1.0835145], [0.0, -4.610699999999999], [0.0, -9.81], [0, 0]]?
1tick47?pos_derivs[[50.0, 1.2664855], [0.0, 0.389300000000003], [0.0, -9.81], [0, 0]]?
0tick48?pos_derivs[[0.0, -1.130112], [0.0, -4.708799999999998], [0.0, -9.81], [0, 0]]?
1tick48?pos_derivs[[50.0, 1.269888], [0.0, 0.291200000000003], [0.0, -9.81], [0, 0]]?
0tick49?pos_derivs[[0.0, -1.1776905], [0.0, -4.806899999999998], [0.0, -9.81], [0, 0]]?
1tick49?pos_derivs[[50.0, 1.2723095], [0.0, 0.193100000000003], [0.0, -9.81], [0, 0]]?
0tick50?pos_derivs[[0.0, -1.22625], [0.0, -4.904999999999998], [0.0, -9.81], [0, 0]]?
1tick50?pos_derivs[[50.0, 1.27375], [0.0, 0.095000000000003], [0.0, -9.81], [0, 0]]?
0tick51?pos_derivs[[0.0, -1.2757905], [0.0, -5.003099999999997], [0.0, -9.81], [0, 0]]?
1tick51?pos_derivs[[50.0, 1.2742095], [0.0, -0.003099999999997], [0.0, -9.81], [0, 0]]?
0tick52?pos_derivs[[0.0, -1.326312], [0.0, -5.101199999999997], [0.0, -9.81], [0, 0]]?
1tick52?pos_derivs[[50.0, 1.273688], [0.0, -0.101199999999997], [0.0, -9.81], [0, 0]]?
0tick53?pos_derivs[[0.0, -1.3778145], [0.0, -5.199299999999996], [0.0, -9.81], [0, 0]]?
1tick53?pos_derivs[[50.0, 1.2721855], [0.0, -0.199299999999997], [0.0, -9.81], [0, 0]]?
0tick54?pos_derivs[[0.0, -1.430298], [0.0, -5.297399999999995], [0.0, -9.81], [0, 0]]?
1tick54?pos_derivs[[50.0, 1.269702], [0.0, -0.297399999999997], [0.0, -9.81], [0, 0]]?
0tick55?pos_derivs[[0.0, -1.4837625], [0.0, -5.395499999999995], [0.0, -9.81], [0, 0]]?
1tick55?pos_derivs[[50.0, 1.2662375], [0.0, -0.395499999999997], [0.0, -9.81], [0, 0]]?
0tick56?pos_derivs[[0.0, -1.538208], [0.0, -5.493599999999994], [0.0, -9.81], [0, 0]]?
1tick56?pos_derivs[[50.0, 1.261792], [0.0, -0.493599999999997], [0.0, -9.81], [0, 0]]?
0tick57?pos_derivs[[0.0, -1.5936345], [0.0, -5.591699999999993], [0.0, -9.81], [0, 0]]?
1tick57?pos_derivs[[50.0, 1.2563655], [0.0, -0.591699999999997], [0.0, -9.81], [0, 0]]?
0tick58?pos_derivs[[0.0, -1.650042], [0.0, -5.689799999999993], [0.0, -9.81], [0, 0]]?
1tick58?pos_derivs[[50.0, 1.249958], [0.0, -0.689799999999997], [0.0, -9.81], [0, 0]]?
0tick59?pos_derivs[[0.0, -1.7074305], [0.0, -5.787899999999992], [0.0, -9.81], [0, 0]]?
1tick59?pos_derivs[[50.0, 1.2425695], [0.0, -0.787899999999997], [0.0, -9.81], [0, 0]]?
0tick60?pos_derivs[[0.0, -1.7658], [0.0, -5.885999999999991], [0.0, -9.81], [0, 0]]?
1tick60?pos_derivs[[50.0, 1.2342], [0.0, -0.885999999999997], [0.0, -9.81], [0, 0]]?
0tick61?pos_derivs[[0.0, -1.8251505], [0.0, -5.984099999999991], [0.0, -9.81], [0, 0]]?
1tick61?pos_derivs[[50.0, 1.2248495], [0.0, -0.984099999999997], [0.0, -9.81], [0, 0]]?
0tick62?pos_derivs[[0.0, -1.885482], [0.0, -6.082199999999991], [0.0, -9.81], [0, 0]]?
1tick62?pos_derivs[[50.0, 1.214518], [0.0, -1.082199999999997], [0.0, -9.81], [0, 0]]?
0tick63?pos_derivs[[0.0, -1.9467945], [0.0, -6.180299999999991], [0.0, -9.81], [0, 0]]?
1tick63?pos_derivs[[50.0, 1.2032055], [0.0, -1.180299999999997], [0.0, -9.81], [0, 0]]?
0tick64?pos_derivs[[0.0, -2.009088], [0.0, -6.278399999999991], [0.0, -9.81], [0, 0]]?
1tick64?pos_derivs[[50.0, 1.190912], [0.0, -1.278399999999997], [0.0, -9.81], [0, 0]]?
0tick65?pos_derivs[[0.0, -2.0723625], [0.0, -6.37649999999999], [0.0, -9.81], [0, 0]]?
1tick65?pos_derivs[[50.0, 1.1776375], [0.0, -1.376499999999997], [0.0, -9.81], [0, 0]]?
0tick66?pos_derivs[[0.0, -2.136618], [0.0, -6.47459999999999], [0.0, -9.81], [0, 0]]?
1tick66?pos_derivs[[50.0, 1.163382], [0.0, -1.474599999999997], [0.0, -9.81], [0, 0]]?
0tick67?pos_derivs[[0.0, -2.2018545], [0.0, -6.57269999999999], [0.0, -9.81], [0, 0]]?
1tick67?pos_derivs[[50.0, 1.1481455], [0.0, -1.572699999999997], [0.0, -9.81], [0, 0]]?
0tick68?pos_derivs[[0.0, -2.268072], [0.0, -6.67079999999999], [0.0, -9.81], [0, 0]]?
1tick68?pos_derivs[[50.0, 1.131928], [0.0, -1.670799999999997], [0.0, -9.81], [0, 0]]?
0tick69?pos_derivs[[0.0, -2.3352705], [0.0, -6.76889999999999], [0.0, -9.81], [0, 0]]?
1tick69?pos_derivs[[50.0, 1.1147295], [0.0, -1.768899999999997], [0.0, -9.81], [0, 0]]?
0tick70?pos_derivs[[0.0, -2.40345], [0.0, -6.866999999999989], [0.0, -9.81], [0, 0]]?
1tick70?pos_derivs[[50.0, 1.09655], [0.0, -1.866999999999997], [0.0, -9.81], [0, 0]]?
0tick71?pos_derivs[[0.0, -2.4726105], [0.0, -6.965099999999989], [0.0, -9.81], [0, 0]]?
1tick71?pos_derivs[[50.0, 1.0773895], [0.0, -1.965099999999997], [0.0, -9.81], [0, 0]]?
0tick72?pos_derivs[[0.0, -2.542752], [0.0, -7.063199999999989], [0.0, -9.81], [0, 0]]?
1tick72?pos_derivs[[50.0, 1.057248], [0.0, -2.063199999999997], [0.0, -9.81], [0, 0]]?
0tick73?pos_derivs[[0.0, -2.6138745], [0.0, -7.161299999999988], [0.0, -9.81], [0, 0]]?
1tick73?pos_derivs[[50.0, 1.0361255], [0.0, -2.161299999999997], [0.0, -9.81], [0, 0]]?
0tick74?pos_derivs[[0.0, -2.685978], [0.0, -7.259399999999988], [0.0, -9.81], [0, 0]]?
1tick74?pos_derivs[[50.0, 1.014022], [0.0, -2.259399999999997], [0.0, -9.81], [0, 0]]?
0tick75?pos_derivs[[0.0, -2.7590625], [0.0, -7.357499999999987], [0.0, -9.81], [0, 0]]?
1tick75?pos_derivs[[50.0, 0.9909375], [0.0, -2.357499999999997], [0.0, -9.81], [0, 0]]?
0tick76?pos_derivs[[0.0, -2.833128], [0.0, -7.455599999999986], [0.0, -9.81], [0, 0]]?
1tick76?pos_derivs[[50.0, 0.966872], [0.0, -2.455599999999997], [0.0, -9.81], [0, 0]]?
0tick77?pos_derivs[[0.0, -2.9081745], [0.0, -7.553699999999986], [0.0, -9.81], [0, 0]]?
1tick77?pos_derivs[[50.0, 0.9418255], [0.0, -2.553699999999997], [0.0, -9.81], [0, 0]]?
0tick78?pos_derivs[[0.0, -2.984202], [0.0, -7.651799999999986], [0.0, -9.81], [0, 0]]?
1tick78?pos_derivs[[50.0, 0.915798], [0.0, -2.651799999999997], [0.0, -9.81], [0, 0]]?
0tick79?pos_derivs[[0.0, -3.0612105], [0.0, -7.749899999999986], [0.0, -9.81], [0, 0]]?
1tick79?pos_derivs[[50.0, 0.8887895], [0.0, -2.749899999999997], [0.0, -9.81], [0, 0]]?
0tick80?pos_derivs[[0.0, -3.1392], [0.0, -7.847999999999986], [0.0, -9.81], [0, 0]]?
1tick80?pos_derivs[[50.0, 0.8608], [0.0, -2.847999999999997], [0.0, -9.81], [0, 0]]?
0tick81?pos_derivs[[0.0, -3.2181705], [0.0, -7.946099999999985], [0.0, -9.81], [0, 0]]?
1tick81?pos_derivs[[50.0, 0.8318295], [0.0, -2.946099999999997], [0.0, -9.81], [0, 0]]?
0tick82?pos_derivs[[0.0, -3.298122], [0.0, -8.044199999999986], [0.0, -9.81], [0, 0]]?
1tick82?pos_derivs[[50.0, 0.801878], [0.0, -3.044199999999997], [0.0, -9.81], [0, 0]]?
0tick83?pos_derivs[[0.0, -3.3790545], [0.0, -8.142299999999986], [0.0, -9.81], [0, 0]]?
1tick83?pos_derivs[[50.0, 0.7709455], [0.0, -3.142299999999997], [0.0, -9.81], [0, 0]]?
0tick84?pos_derivs[[0.0, -3.460968], [0.0, -8.240399999999987], [0.0, -9.81], [0, 0]]?
1tick84?pos_derivs[[50.0, 0.739032], [0.0, -3.240399999999997], [0.0, -9.81], [0, 0]]?
0tick85?pos_derivs[[0.0, -3.543862499999999], [0.0, -8.338499999999987], [0.0, -9.81], [0, 0]]?
1tick85?pos_derivs[[50.0, 0.7061375], [0.0, -3.338499999999997], [0.0, -9.81], [0, 0]]?
0tick86?pos_derivs[[0.0, -3.627737999999999], [0.0, -8.436599999999988], [0.0, -9.81], [0, 0]]?
1tick86?pos_derivs[[50.0, 0.672262], [0.0, -3.436599999999997], [0.0, -9.81], [0, 0]]?
0tick87?pos_derivs[[0.0, -3.712594499999999], [0.0, -8.534699999999988], [0.0, -9.81], [0, 0]]?
1tick87?pos_derivs[[50.0, 0.6374055], [0.0, -3.534699999999997], [0.0, -9.81], [0, 0]]?
0tick88?pos_derivs[[0.0, -3.798431999999999], [0.0, -8.632799999999989], [0.0, -9.81], [0, 0]]?
1tick88?pos_derivs[[50.0, 0.601568], [0.0, -3.632799999999997], [0.0, -9.81], [0, 0]]?
0tick89?pos_derivs[[0.0, -3.885250499999999], [0.0, -8.73089999999999], [0.0, -9.81], [0, 0]]?
1tick89?pos_derivs[[50.0, 0.5647495], [0.0, -3.730899999999997], [0.0, -9.81], [0, 0]]?
0tick90?pos_derivs[[0.0, -3.973049999999999], [0.0, -8.82899999999999], [0.0, -9.81], [0, 0]]?
1tick90?pos_derivs[[50.0, 0.52695], [0.0, -3.828999999999997], [0.0, -9.81], [0, 0]]?
0tick91?pos_derivs[[0.0, -4.061830499999998], [0.0, -8.92709999999999], [0.0, -9.81], [0, 0]]?
1tick91?pos_derivs[[50.0, 0.4881695], [0.0, -3.927099999999997], [0.0, -9.81], [0, 0]]?
0tick92?pos_derivs[[0.0, -4.151591999999998], [0.0, -9.025199999999991], [0.0, -9.81], [0, 0]]?
1tick92?pos_derivs[[50.0, 0.448408], [0.0, -4.025199999999997], [0.0, -9.81], [0, 0]]?
0tick93?pos_derivs[[0.0, -4.242334499999998], [0.0, -9.123299999999992], [0.0, -9.81], [0, 0]]?
1tick93?pos_derivs[[50.0, 0.4076655], [0.0, -4.123299999999997], [0.0, -9.81], [0, 0]]?
0tick94?pos_derivs[[0.0, -4.334057999999998], [0.0, -9.221399999999992], [0.0, -9.81], [0, 0]]?
1tick94?pos_derivs[[50.0, 0.365942], [0.0, -4.221399999999996], [0.0, -9.81], [0, 0]]?
0tick95?pos_derivs[[0.0, -4.426762499999998], [0.0, -9.319499999999993], [0.0, -9.81], [0, 0]]?
1tick95?pos_derivs[[50.0, 0.3232375], [0.0, -4.319499999999995], [0.0, -9.81], [0, 0]]?
0tick96?pos_derivs[[0.0, -4.520447999999998], [0.0, -9.417599999999993], [0.0, -9.81], [0, 0]]?
1tick96?pos_derivs[[50.0, 0.279552], [0.0, -4.417599999999995], [0.0, -9.81], [0, 0]]?
0tick97?pos_derivs[[0.0, -4.615114499999998], [0.0, -9.515699999999994], [0.0, -9.81], [0, 0]]?
1tick97?pos_derivs[[50.0, 0.2348855], [0.0, -4.515699999999994], [0.0, -9.81], [0, 0]]?
0tick98?pos_derivs[[0.0, -4.710761999999998], [0.0, -9.613799999999994], [0.0, -9.81], [0, 0]]?
1tick98?pos_derivs[[50.0, 0.189238], [0.0, -4.613799999999993], [0.0, -9.81], [0, 0]]?
0tick99?pos_derivs[[0.0, -4.807390499999998], [0.0, -9.711899999999995], [0.0, -9.81], [0, 0]]?
1tick99?pos_derivs[[50.0, 0.1426095], [0.0, -4.711899999999993], [0.0, -9.81], [0, 0]]?
0tick100?pos_derivs[[0.0, -4.904999999999998], [0.0, -9.809999999999995], [0.0, -9.81], [0, 0]]?
