71?shapeCircle?pos[0.0, -250.74360000000027]?velocity[0.0, -70.63200000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
71?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
71?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
72?shapeCircle?pos[0.0, -257.8068000000003]?velocity[0.0, -71.61300000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
72?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
72?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
73?shapeCircle?pos[0.0, -264.9681000000003]?velocity[0.0, -72.59400000000004]?mass10.0?bounce1.0?staticFalse?radius10.0?
73?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
73?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
74?shapeCircle?pos[0.0, -272.2275000000003]?velocity[0.0, -73.57500000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
74?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
74?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
75?shapeCircle?pos[0.0, -279.5850000000003]?velocity[0.0, -74.55600000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
75?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
75?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
76?shapeCircle?pos[0.0, -287.0406000000003]?velocity[0.0, -75.53700000000002]?mass10.0?bounce1.0?staticFalse?radius10.0?
76?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
76?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
77?shapeCircle?pos[0.0, -294.5943000000003]?velocity[0.0, -76.51800000000001]?mass10.0?bounce1.0?staticFalse?radius10.0?
77?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
77?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
78?shapeCircle?pos[0.0, -302.2461000000003]?velocity[0.0, -77.49900000000001]?mass10.0?bounce1.0?staticFalse?radius10.0?
78?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
78?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
79?shapeCircle?pos[0.0, -309.9960000000003]?velocity[0.0, -78.48]?mass10.0?bounce1.0?staticFalse?radius10.0?
79?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
79?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
80?shapeCircle?pos[0.0, -317.84400000000034]?velocity[0.0, -79.461]?mass10.0?bounce1.0?staticFalse?radius10.0?
80?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
80?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
81?shapeCircle?pos[0.0, -325.79010000000034]?velocity[0.0, -80.442]?mass10.0?bounce1.0?staticFalse?radius10.0?
81?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
81?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
82?shapeCircle?pos[0.0, -333.8343000000003]?velocity[0.0, -81.42299999999999]?mass10.0?bounce1.0?staticFalse?radius10.0?
82?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
82?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
83?shapeCircle?pos[0.0, -341.9766000000003]?velocity[0.0, -82.40399999999998]?mass10.0?bounce1.0?staticFalse?radius10.0?
83?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
83?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
84?shapeCircle?pos[0.0, -350.2170000000003]?velocity[0.0, -83.38499999999998]?mass10.0?bounce1.0?staticFalse?radius10.0?
84?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
84?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
85?shapeCircle?pos[0.0, -358.55550000000034]?velocity[0.0, -84.36599999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
85?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
85?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
86?shapeCircle?pos[0.0, -366.99210000000033]?velocity[0.0, -85.34699999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
86?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
86?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
87?shapeCircle?pos[0.0, -375.5268000000003]?velocity[0.0, -86.32799999999996]?mass10.0?bounce1.0?staticFalse?radius10.0?
87?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
87?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
88?shapeCircle?pos[0.0, -384.1596000000003]?velocity[0.0, -87.30899999999995]?mass10.0?bounce1.0?staticFalse?radius10.0?
88?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
88?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
89?shapeCircle?pos[0.0, -392.8905000000003]?velocity[0.0, -88.28999999999995]?mass10.0?bounce1.0?staticFalse?radius10.0?
89?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
89?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
90?shapeCircle?pos[0.0, -401.7195000000003]?velocity[0.0, -89.27099999999994]?mass10.0?bounce1.0?staticFalse?radius10.0?
90?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
90?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
91?shapeCircle?pos[0.0, -410.6466000000003]?velocity[0.0, -90.25199999999994]?mass10.0?bounce1.0?staticFalse?radius10.0?
91?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
91?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
92?shapeCircle?pos[0.0, -419.6718000000003]?velocity[0.0, -91.23299999999993]?mass10.0?bounce1.0?staticFalse?radius10.0?
92?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
92?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
93?shapeCircle?pos[0.0, -428.7951000000003]?velocity[0.0, -92.21399999999993]?mass10.0?bounce1.0?staticFalse?radius10.0?
93?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
93?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
94?shapeCircle?pos[0.0, -438.0165000000003]?velocity[0.0, -93.19499999999992]?mass10.0?bounce1.0?staticFalse?radius10.0?
94?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
94?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
95?shapeCircle?pos[0.0, -447.3360000000003]?velocity[0.0, -94.17599999999992]?mass10.0?bounce1.0?staticFalse?radius10.0?
95?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
95?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
96?shapeCircle?pos[0.0, -456.7536000000003]?velocity[0.0, -95.15699999999991]?mass10.0?bounce1.0?staticFalse?radius10.0?
96?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
96?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
97?shapeCircle?pos[0.0, -466.26930000000027]?velocity[0.0, -96.1379999999999]?mass10.0?bounce1.0?staticFalse?radius10.0?
97?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
97?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
98?shapeCircle?pos[0.0, -475.88310000000024]?velocity[0.0, -97.1189999999999]?mass10.0?bounce1.0?staticFalse?radius10.0?
98?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
98?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
99?shapeCircle?pos[0.0, -485.59500000000025]?velocity[0.0, -98.0999999999999]?mass10.0?bounce1.0?staticFalse?radius10.0?
99?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
99?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
100?shapeCircle?pos[0.0, -495.40500000000026]?velocity[0.0, -99.08099999999989]?mass10.0?bounce1.0?staticFalse?radius10.0?
100?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
100?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
101?shapeCircle?pos[0.0, -505.31310000000025]?velocity[0.0, -100.06199999999988]?mass10.0?bounce1.0?staticFalse?radius10.0?
101?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
101?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
102?shapeCircle?pos[0.0, -515.3193000000002]?velocity[0.0, -101.04299999999988]?mass10.0?bounce1.0?staticFalse?radius10.0?
102?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
102?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
103?shapeCircle?pos[0.0, -525.4236000000002]?velocity[0.0, -102.02399999999987]?mass10.0?bounce1.0?staticFalse?radius10.0?
103?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
103?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
104?shapeCircle?pos[0.0, -535.6260000000002]?velocity[0.0, -103.00499999999987]?mass10.0?bounce1.0?staticFalse?radius10.0?
104?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
104?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
105?shapeCircle?pos[0.0, -545.9265000000001]?velocity[0.0, -103.98599999999986]?mass10.0?bounce1.0?staticFalse?radius10.0?
105?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
105?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
106?shapeCircle?pos[0.0, -556.3251000000001]?velocity[0.0, -104.96699999999986]?mass10.0?bounce1.0?staticFalse?radius10.0?
106?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
106?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
107?shapeCircle?pos[0.0, -566.8218000000002]?velocity[0.0, -105.94799999999985]?mass10.0?bounce1.0?staticFalse?radius10.0?
107?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
107?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
108?shapeCircle?pos[0.0, -577.4166000000001]?velocity[0.0, -106.92899999999985]?mass10.0?bounce1.0?staticFalse?radius10.0?
108?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
108?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
109?shapeCircle?pos[0.0, -588.1095000000001]?velocity[0.0, -107.90999999999984]?mass10.0?bounce1.0?staticFalse?radius10.0?
109?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
109?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
110?shapeCircle?pos[0.0, -598.9005000000001]?velocity[0.0, -108.89099999999983]?mass10.0?bounce1.0?staticFalse?radius10.0?
110?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
110?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
111?shapeCircle?pos[0.0, -609.7896000000001]?velocity[0.0, -109.87199999999983]?mass10.0?bounce1.0?staticFalse?radius10.0?
111?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
111?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
112?shapeCircle?pos[0.0, -620.7768000000001]?velocity[0.0, -110.85299999999982]?mass10.0?bounce1.0?staticFalse?radius10.0?
112?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
112?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
113?shapeCircle?pos[0.0, -631.8621]?velocity[0.0, -111.83399999999982]?mass10.0?bounce1.0?staticFalse?radius10.0?
113?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
113?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
114?shapeCircle?pos[0.0, -643.0455000000001]?velocity[0.0, -112.81499999999981]?mass10.0?bounce1.0?staticFalse?radius10.0?
114?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
114?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
115?shapeCircle?pos[0.0, -654.327]?velocity[0.0, -113.79599999999981]?mass10.0?bounce1.0?staticFalse?radius10.0?
115?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
115?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
116?shapeCircle?pos[0.0, -665.7066]?velocity[0.0, -114.7769999999998]?mass10.0?bounce1.0?staticFalse?radius10.0?
116?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
116?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
117?shapeCircle?pos[0.0, -677.1843]?velocity[0.0, -115.7579999999998]?mass10.0?bounce1.0?staticFalse?radius10.0?
117?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
117?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
118?shapeCircle?pos[0.0, -688.7601]?velocity[0.0, -116.73899999999979]?mass10.0?bounce1.0?staticFalse?radius10.0?
118?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
118?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
119?shapeCircle?pos[0.0, -700.434]?velocity[0.0, -117.71999999999979]?mass10.0?bounce1.0?staticFalse?radius10.0?
119?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
119?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
120?shapeCircle?pos[0.0, -712.2059999999999]?velocity[0.0, -118.70099999999978]?mass10.0?bounce1.0?staticFalse?radius10.0?
120?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
120?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
121?shapeCircle?pos[0.0, -724.0760999999999]?velocity[0.0, -119.68199999999977]?mass10.0?bounce1.0?staticFalse?radius10.0?
121?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
121?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
122?shapeCircle?pos[0.0, -736.0442999999999]?velocity[0.0, -120.66299999999977]?mass10.0?bounce1.0?staticFalse?radius10.0?
122?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
122?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
123?shapeCircle?pos[0.0, -748.1105999999999]?velocity[0.0, -121.64399999999976]?mass10.0?bounce1.0?staticFalse?radius10.0?
123?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
123?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
124?shapeCircle?pos[0.0, -760.2749999999999]?velocity[0.0, -122.62499999999976]?mass10.0?bounce1.0?staticFalse?radius10.0?
124?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
124?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
125?shapeCircle?pos[0.0, -772.5374999999998]?velocity[0.0, -123.60599999999975]?mass10.0?bounce1.0?staticFalse?radius10.0?
125?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
125?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
126?shapeCircle?pos[0.0, -784.8980999999998]?velocity[0.0, -124.58699999999975]?mass10.0?bounce1.0?staticFalse?radius10.0?
126?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
126?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
127?shapeCircle?pos[0.0, -797.3567999999998]?velocity[0.0, -125.56799999999974]?mass10.0?bounce1.0?staticFalse?radius10.0?
127?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
127?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
128?shapeCircle?pos[0.0, -809.9135999999997]?velocity[0.0, -126.54899999999974]?mass10.0?bounce1.0?staticFalse?radius10.0?
128?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
128?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
129?shapeCircle?pos[0.0, -822.5684999999997]?velocity[0.0, -127.52999999999973]?mass10.0?bounce1.0?staticFalse?radius10.0?
129?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
129?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
130?shapeCircle?pos[0.0, -835.3214999999997]?velocity[0.0, -128.51099999999974]?mass10.0?bounce1.0?staticFalse?radius10.0?
130?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
130?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
131?shapeCircle?pos[0.0, -848.1725999999996]?velocity[0.0, -129.49199999999973]?mass10.0?bounce1.0?staticFalse?radius10.0?
131?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
131?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
132?shapeCircle?pos[0.0, -861.1217999999997]?velocity[0.0, -130.47299999999973]?mass10.0?bounce1.0?staticFalse?radius10.0?
132?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
132?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
133?shapeCircle?pos[0.0, -874.1690999999996]?velocity[0.0, -131.45399999999972]?mass10.0?bounce1.0?staticFalse?radius10.0?
133?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
133?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
134?shapeCircle?pos[0.0, -887.3144999999996]?velocity[0.0, -132.43499999999972]?mass10.0?bounce1.0?staticFalse?radius10.0?
134?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
134?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
135?shapeCircle?pos[0.0, -900.5579999999995]?velocity[0.0, -133.4159999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
135?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
135?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
136?shapeCircle?pos[0.0, -913.8995999999995]?velocity[0.0, -134.3969999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
136?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
136?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
137?shapeCircle?pos[0.0, -927.3392999999995]?velocity[0.0, -135.3779999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
137?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
137?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
138?shapeCircle?pos[0.0, -940.8770999999995]?velocity[0.0, -136.3589999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
138?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
138?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
139?shapeCircle?pos[0.0, -954.5129999999995]?velocity[0.0, -137.3399999999997]?mass10.0?bounce1.0?staticFalse?radius10.0?
139?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
139?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
140?shapeCircle?pos[0.0, -968.2469999999994]?velocity[0.0, -138.32099999999969]?mass10.0?bounce1.0?staticFalse?radius10.0?
140?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
140?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
141?shapeCircle?pos[0.0, -982.0790999999994]?velocity[0.0, -139.30199999999968]?mass10.0?bounce1.0?staticFalse?radius10.0?
141?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
