14?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
14?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
15?shapeCircle?pos[0.0, -11.772000000000002]?velocity[0.0, -15.696]?mass10.0?bounce1.0?staticFalse?radius10.0?
15?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
15?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
16?shapeCircle?pos[0.0, -13.341600000000001]?velocity[0.0, -16.677]?mass10.0?bounce1.0?staticFalse?radius10.0?
16?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
16?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
17?shapeCircle?pos[0.0, -15.009300000000001]?velocity[0.0, -17.658]?mass10.0?bounce1.0?staticFalse?radius10.0?
17?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
17?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
18?shapeCircle?pos[0.0, -16.775100000000002]?velocity[0.0, -18.639000000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
18?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
18?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
19?shapeCircle?pos[0.0, -18.639000000000003]?velocity[0.0, -19.620000000000005]?mass10.0?bounce1.0?staticFalse?radius10.0?
19?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
19?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
20?shapeCircle?pos[0.0, -20.601000000000003]?velocity[0.0, -20.601000000000006]?mass10.0?bounce1.0?staticFalse?radius10.0?
20?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
